实况日期,气温,相对湿度,未来雷暴,index,0
1986-04-11 12:00:00,16.4,0.16513497594061816,0.0,3326,1986-04-11 12:00:00
1986-04-11 18:00:00,9.8,0.4360600322990445,0.0,3327,1986-04-11 18:00:00
1986-04-16 12:00:00,20.7,0.47657434372776464,0.0,3346,1986-04-16 12:00:00
1986-04-18 06:00:00,19.9,0.6154970359635479,1.0,3353,1986-04-18 06:00:00
1986-04-18 12:00:00,19.6,0.6312040397636505,1.0,3354,1986-04-18 12:00:00
1986-04-20 18:00:00,9.3,0.4034385833452937,0.0,3363,1986-04-20 18:00:00
1986-04-25 00:00:00,10.0,0.7565200945735567,0.0,3380,1986-04-25 00:00:00
1986-05-04 12:00:00,22.7,0.38092243933528896,0.0,3418,1986-05-04 12:00:00
1986-05-05 12:00:00,24.1,0.3848934230436786,0.0,3422,1986-05-05 12:00:00
1986-05-05 18:00:00,17.3,0.6218311740971404,0.0,3423,1986-05-05 18:00:00
1986-05-11 00:00:00,11.8,0.8637322553727936,0.0,3444,1986-05-11 00:00:00
1986-05-12 18:00:00,21.3,0.25576982716279373,0.0,3451,1986-05-12 18:00:00
1986-05-18 00:00:00,17.9,0.7643060364856668,0.0,3472,1986-05-18 00:00:00
1986-05-26 00:00:00,21.5,0.48520586431266505,0.0,3504,1986-05-26 00:00:00
1986-05-28 12:00:00,25.1,0.5245480741355059,0.0,3514,1986-05-28 12:00:00
1986-05-30 12:00:00,28.7,0.4947966893404107,1.0,3522,1986-05-30 12:00:00
1986-05-31 12:00:00,25.0,0.537991291716395,0.0,3526,1986-05-31 12:00:00
1986-06-02 06:00:00,37.4,0.15372390243692077,0.0,3533,1986-06-02 06:00:00
1986-06-04 12:00:00,26.1,0.3629127423265593,0.0,3542,1986-06-04 12:00:00
1986-06-06 12:00:00,28.4,0.38418880640284214,0.0,3550,1986-06-06 12:00:00
1986-06-11 18:00:00,21.3,0.5645713194170865,0.0,3571,1986-06-11 18:00:00
1986-06-15 06:00:00,26.0,0.5796992670929529,1.0,3585,1986-06-15 06:00:00
1986-06-15 12:00:00,24.3,0.6663290584969928,0.0,3586,1986-06-15 12:00:00
1986-06-19 06:00:00,27.3,0.4401427316338028,0.0,3601,1986-06-19 06:00:00
1986-06-19 12:00:00,25.7,0.490047256600526,1.0,3602,1986-06-19 12:00:00
1986-06-19 18:00:00,21.7,40.229830653250104,1.0,3603,1986-06-19 18:00:00
1986-06-20 12:00:00,23.0,0.7868030098499209,1.0,3606,1986-06-20 12:00:00
1986-06-20 18:00:00,21.1,0.8194984415808251,1.0,3607,1986-06-20 18:00:00
1986-06-21 00:00:00,22.7,0.738526169027522,0.0,3608,1986-06-21 00:00:00
1986-06-21 06:00:00,25.8,0.632730686927209,1.0,3609,1986-06-21 06:00:00
